0.810	 0.280	 0.050	 0.050	 0.050	 
1.000	 1.000	 1.000	 0.996	 0.980	 
1.000	 1.000	 1.000	 1.000	 0.960	 
1.000	 0.590	 0.055	 0.005	 0.005	 
1.000	 1.000	 1.000	 0.640	 0.070	 
0.188	 0.034	 0.004	 0.000	 0.000	 
0.490	 0.404	 0.402	 0.383	 0.302	 
0.000	 0.000	 0.000	 0.000	 0.000	 
0.195	 0.134	 0.130	 0.112	 0.054	 
0.992	 0.992	 0.990	 0.965	 0.707	 
0.930	 0.593	 0.563	 0.477	 0.380	 
0.355	 0.285	 0.233	 0.138	 0.070	 
0.790	 0.493	 0.410	 0.337	 0.277	 
0.913	 0.390	 0.373	 0.350	 0.313	 
0.840	 0.145	 0.138	 0.135	 0.125	 
1.000	 0.220	 0.010	 0.000	 0.000	 
0.507	 0.037	 0.000	 0.000	 0.000	 
0.000	 0.000	 0.000	 0.000	 0.000	 
0.000	 0.000	 0.000	 0.000	 0.000	 
0.000	 0.000	 0.000	 0.000	 0.000	 
