1.000	 1.000	 1.000	 1.000	 1.000	 
1.000	 1.000	 1.000	 1.000	 1.000	 
1.000	 1.000	 1.000	 1.000	 1.000	 
1.000	 1.000	 1.000	 1.000	 1.000	 
1.000	 1.000	 1.000	 1.000	 1.000	 
0.998	 0.994	 0.992	 0.992	 0.000	 
1.000	 1.000	 1.000	 1.000	 1.000	 
0.954	 0.939	 0.922	 0.899	 0.870	 
0.978	 0.978	 0.978	 0.978	 0.978	 
1.000	 1.000	 1.000	 1.000	 1.000	 
0.990	 0.990	 0.990	 0.990	 0.990	 
0.995	 0.995	 0.995	 0.993	 0.990	 
0.990	 0.987	 0.983	 0.983	 0.983	 
0.770	 0.740	 0.723	 0.720	 0.720	 
0.650	 0.647	 0.642	 0.632	 0.632	 
0.660	 0.660	 0.660	 0.660	 0.660	 
0.480	 0.477	 0.470	 0.468	 0.460	 
0.650	 0.650	 0.650	 0.650	 0.650	 
0.460	 0.460	 0.457	 0.450	 0.437	 
0.180	 0.175	 0.172	 0.172	 0.172	 
