1.000	 1.000	 1.000	 1.000	 1.000	 
1.000	 1.000	 1.000	 1.000	 1.000	 
1.000	 1.000	 1.000	 1.000	 1.000	 
1.000	 1.000	 1.000	 1.000	 1.000	 
1.000	 1.000	 1.000	 1.000	 1.000	 
0.996	 0.996	 0.996	 0.993	 0.000	 
1.000	 1.000	 1.000	 1.000	 1.000	 
0.906	 0.900	 0.893	 0.886	 0.879	 
1.000	 1.000	 1.000	 1.000	 1.000	 
1.000	 1.000	 1.000	 1.000	 1.000	 
1.000	 1.000	 0.853	 0.697	 0.670	 
0.998	 0.998	 0.877	 0.772	 0.750	 
0.957	 0.763	 0.667	 0.667	 0.667	 
0.670	 0.667	 0.667	 0.667	 0.667	 
0.615	 0.615	 0.615	 0.610	 0.610	 
0.673	 0.663	 0.663	 0.663	 0.663	 
0.350	 0.345	 0.345	 0.333	 0.333	 
0.520	 0.500	 0.460	 0.383	 0.300	 
0.123	 0.097	 0.073	 0.057	 0.040	 
0.000	 0.000	 0.000	 0.000	 0.000	 
