1.000	1.000	1.000	1.000	1.000 
1.000	1.000	1.000	1.000	1.000  
1.000	1.000	1.000	1.000	1.000  
1.000	1.000	0.995	0.985	0.805  
1.000	1.000	1.000	1.000	1.000 
0.562	0.536	0.523	0.473	0.000 
1.000	0.741	0.726	0.709	0.683  
0.352	0.330	0.310	0.275	0.252  
0.480	0.326	0.318	0.298	0.276  
1.000	1.000	1.000	1.000	1.000 
0.877	0.677	0.670	0.680	0.663 
0.752	0.715	0.672	0.642	0.573  
0.697	0.667	0.667	0.663	0.623  
0.933	0.667	0.667	0.663	0.610  
0.665	0.495	0.485	0.470	0.443 
1.000	0.523	0.523	0.417	0.323 
0.917	0.347	0.338	0.300	0.245  
0.640	0.117	0.113	0.110	0.093  
0.020	0.020	0.043	0.017	0.010  
0.000	0.000	0.000	0.000	0.000 
