0.860	0.860	0.860	0.860	0.800 
1.000	1.000	1.000	1.000	1.000 
1.000	1.000	1.000	1.000	1.000 
0.360	0.280	0.020	0.000	0.000 
0.920	0.900	0.880	0.800	0.380
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
1.000	1.000	0.980	0.580	0.060
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.780	0.000	0.000	0.000	0.000 
0.160	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000
