1.000	1.000	1.000	1.000	1.000 
1.000	1.000	1.000	1.000	1.000 
1.000	1.000	1.000	1.000	1.000 
1.000	1.000	0.980	0.960	0.420 
1.000	1.000	1.000	1.000	1.000
0.000	0.000	0.000	0.000	0.000 
1.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
1.000	1.000	1.000	1.000	1.000
0.420	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.700	0.000	0.000	0.000	0.000 
0.060	0.000	0.000	0.000	0.000
1.000	0.000	0.000	0.000	0.000 
0.640	0.000	0.000	0.000	0.000 
0.640	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000
