1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
0.438889	0.438889	0.438889	0.438889	0	
0.343333	0.343333	0.343333	0.342778	0.338889	
0.114321	0.114321	0.114321	0.114321	0.114321	
0.097037	0.097037	0.097037	0.0966667	0.095	
1	1	1	1	1	
0.666667	0.666667	0.666667	0.666667	0.666667	
0.6225	0.6125	0.61	0.6075	0.6025	
0.666667	0.666667	0.666667	0.666667	0.666667	
0.666667	0.666667	0.666667	0.666667	0.663333	
0.525	0.52	0.5175	0.5125	0.4975	
0.67	0.666667	0.66	0.66	0.656667	
0.335	0.3225	0.3125	0.2975	0.2875	
0.45	0.35	0.31	0.286667	0.236667	
0.2225	0.175	0.1525	0.135	0.1225	
0.135	0.13	0.125	0.125	0.125	
