0.930	0.930	0.930	0.930	0.900 
1.000	1.000	1.000	1.000	1.000 
1.000	1.000	1.000	1.000	1.000 
0.720	0.650	0.470	0.320	0.155 
0.960	0.950	0.940	0.900	0.680 
0.274	0.140	0.041	0.001	0.000 
0.739	0.727	0.668	0.509	0.346 
0.005	0.000	0.000	0.000	0.000 
0.520	0.489	0.345	0.140	0.038 
1.000	1.000	0.998	0.953	0.695 
0.337	0.237	0.100	0.033	0.007 
0.225	0.155	0.048	0.010	0.000 
0.220	0.113	0.027	0.000	0.000 
0.120	0.003	0.000	0.000	0.000 
0.102	0.020	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
0.000	0.000	0.000	0.000	0.000 
