1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
0.996667	0.996667	0.996667	0.996667	0	
0.990556	0.665	0.659444	0.655556	0.645556	
0.309383	0.309136	0.308889	0.308395	0.224198	
0.334074	0.244074	0.242222	0.239537	0.236852	
1	1	1	1	1	
0.686667	0.666667	0.666667	0.666667	0.666667	
0.7175	0.7175	0.7175	0.7175	0.71	
0.656667	0.656667	0.656667	0.656667	0.656667	
0.496667	0.49	0.49	0.49	0.49	
0.3325	0.3325	0.3325	0.33	0.32	
0.0766667	0.0733333	0.0733333	0.0733333	0.0733333	
0.0225	0.0225	0.0225	0.0225	0.0225	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
