1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	0.987778	0	
1	0.96	0.878333	0.808333	0.713889	
0.989877	0.990864	0.984938	0.958025	0.94716	
0.828611	0.591759	0.552315	0.436019	0.349352	
1	1	1	1	1	
0.866667	0.666667	0.666667	0.666667	0.666667	
0.75	0.7475	0.7375	0.74	0.735	
0.736667	0.666667	0.666667	0.666667	0.666667	
0.943333	0.666667	0.666667	0.666667	0.666667	
1	0.6425	0.6225	0.6	0.62	
0.89	0.666667	0.666667	0.666667	0.666667	
0.9625	0.48	0.42	0.4	0.3575	
0.663333	0.63	0.63	0.613333	0.603333	
0.495	0.1175	0.08	0.02	0	
0.08	0.005	0	0	0	
