1.000	1.000	1.000	1.000	1.000	
1.000	1.000	1.000	1.000	1.000	
1.000	1.000	1.000	1.000	1.000	
1.000	1.000	1.000	1.000	1.000	
1.000	1.000	1.000	1.000	1.000	
1.000	0.920	0.340	0.000	0.000	
1.000	1.000	0.120	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	
1.000	0.000	0.000	0.000	0.000	
1.000	1.000	1.000	1.000	0.680	
1.000	0.000	0.000	0.000	0.000	
0.120	0.000	0.000	0.000	0.000	
0.980	0.000	0.000	0.000	0.000	
1.000	0.000	0.000	0.000	0.000	
1.000	0.000	0.000	0.000	0.000	
1.000	0.000	0.000	0.000	0.000	
1.000	0.000	0.000	0.000	0.000	
0.980	0.000	0.000	0.000	0.000	
0.140	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	
